# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.0,3.0,-179.99830017539037,0,0.75,0.004717500390281199,0.0,0.0,0.0
 0.18653400432356607,1.9869518994673732,2.9999996128950057,-179.99830017539037,0.13990050324267456,0.75,0.004717500390281199,0.0,0.046013711767674055,0.0
 0.2623292562481172,1.9741937605516484,2.999998457798577,-179.99481255451494,0.1967469421860879,0.7499999999999999,0.004989340586425052,0.0,0.06309195127867977,0.0
 0.31948257469049623,1.961724081880812,2.9999965440385448,-179.99120664013236,0.23961193101787215,0.7499999999999996,0.0052833058314094156,0.0,0.07882422512343107,0.0
 0.36681925944751914,1.949541362082849,2.999993880942741,-179.98747536263647,0.2751144445856393,0.7499999999999988,0.005601726206970158,0.0,0.09434753761712064,0.0
 0.4077773941647632,1.9376440997857456,2.9999904778389954,-179.9836110634805,0.30583304562357233,0.75,0.005947235939125112,0.0,0.11018908356103788,0.0
 0.4441297351027062,1.9260307936174874,2.99998634405514,-179.97960543234728,0.3330973013270295,0.7499999999999989,0.0063228142475807835,0.0,0.12668754191415096,0.0
 0.47693482588298397,1.9146999422060595,2.999981488919007,-179.97544943603407,0.35770111941223787,0.7500000000000004,0.006731844545142754,0.0,0.14410871623356236,0.0
 0.5068858122076991,1.9036500441794482,2.999975921758426,-179.97113323784484,0.3801643591557742,0.7499999999999981,0.007178183565661539,0.0,0.16269118308994257,0.0
 0.5344664824422176,1.8928795981656388,2.999969651901229,-179.966646105974,0.4008498618316631,0.750000000000002,0.007666231253146653,0.0,0.18266908130284623,0.0
 0.5600307265471869,1.882387102792617,2.999962688675247,-179.96197630898914,0.42002304491039,0.7499999999999978,0.008201031150116223,0.0,0.2042860075313195,0.0
 0.5838469079483306,1.8721710566883683,2.9999550414083114,-179.95711099637606,0.4378851809612478,0.75,0.008788376999398452,0.0,0.22780524788167594,0.0
 0.6061244232247672,1.8622299584808786,2.9999467194282525,-179.9520360614863,0.4545933174185752,0.7499999999999988,0.009434949084540834,0.0,0.2535186719510169,0.0
 0.6270304873423669,1.8525623067981336,2.9999377320629033,-179.9467359838755,0.470272865506775,0.7500000000000013,0.010148471676083518,0.0,0.2817555365625278,0.0
 0.6467012159158736,1.8431666002681186,2.9999280886400927,-179.94119364719168,0.48502591193690503,0.75,0.010937922462843645,0.0,0.310645608678078,0.0
 0.6653833370294281,1.8340413375188194,2.9999177984876537,-179.93539012830698,0.49187264210898274,0.3664856966969441,0.011813757187314354,0.0,0.33328795721256377,0.0
 0.6836428518276705,1.825185017178222,2.9999068709334167,-179.9293044519202,0.47817800601030097,-0.7499999999999984,0.012788214593721639,0.0,0.35073621483847567,0.0
 0.7018649442547945,1.8165961378743114,2.999895315305213,-179.92291330419584,0.4645114366899579,-0.7500000000000016,0.01387568133056692,0.0,0.36968689191257925,0.0
 0.720049541483648,1.8082731982350735,2.9998831409308737,-179.91619069696563,0.45087298876831783,-0.75,0.015093140970103001,0.0,0.39031872422703684,0.0
 0.7381965688418084,1.8002146968884942,2.99987035713823,-179.90910757239868,0.4372627182496975,-0.7500000000000016,0.01646073373479824,0.0,0.41283780728502645,0.0
 0.756305949566228,1.7924191324625591,2.9998569732551137,-179.9016313353691,0.42368068270638276,-0.7500000000000016,0.018002469657078364,0.0,0.43748277306073674,0.0
 0.7743776045115613,1.7848850035852537,2.9998429986093553,-179.89372529764984,0.4101269414973827,-0.7500000000000016,0.019747125431904825,0.0,0.4645311459777653,0.0
 0.7924114518015678,1.7776108088845635,2.999828442528786,-179.88534801390185,0.39660155602987796,-0.7499999999999953,0.02172937953416251,0.0,0.494307195897203,0.0
 0.8104074064100973,1.7705950469884741,2.999813314341237,-179.8764524840418,0.3831045900734808,-0.75,0.023991279614697374,0.0,0.5271917037887166,0.0
 0.8283653796543894,1.763836216524972,2.99979762337454,-179.86698518953054,0.36963611014026176,-0.75,0.026584126962403327,0.0,0.5636341907821565,0.0
 0.8462852785783923,1.7573328161220416,2.9997813789565253,-179.85688492180162,0.35619618594725955,-0.7500000000000016,0.029570952782270125,0.0,0.6041683460184791,0.0
 0.8641670051970627,1.7510833444076694,2.999764590415025,-179.84608134860648,0.3427848909832568,-0.7499999999999969,0.03302975844791893,0.0,0.6494316559753399,0.0
 0.8820104555635369,1.7450863000098407,2.99974726707787,-179.83449324708664,0.3294023032084012,-0.75,0.037057839210935944,0.0,0.7001905730458918,0.0
 0.8998155186085699,1.7393401815565412,2.9997294182728917,-179.82202630979003,0.3160485059246264,-0.75,0.04177758019128699,0.0,0.7573731144063939,0.0
 0.9175820746844502,1.733843487675757,2.9997110533279203,-179.80857039788256,0.30272358886771616,-0.7500000000000016,0.04734433563261788,0.0,0.8221114770461683,0.0
 0.9353099937214553,1.728594716995473,2.999692181570788,-179.7939960721781,0.2894276495899623,-0.7500000000000016,0.05395727466437753,0.0,0.8957983759261637,0.0
 0.9529991328706914,1.7235923681436751,2.9996728123293255,-179.77815017005668,0.2761607952280352,-0.7500000000000016,0.0618744871123483,0.0,0.9801623616092966,0.0
 0.9706493334578989,1.718834939748349,2.9996529549313644,-179.76085010776626,0.26292314478762957,-0.7499999999999984,0.07143434782573713,0.0,1.0773698407385541,0.0
 0.988260417000748,1.7143209304374807,2.9996326187047355,-179.74187645749447,0.24971483213049275,-0.7500000000000031,0.0830862128898567,0.0,1.1901651354560943,0.0
